x,y,z
89660.38777606464,43128.855071324375,43.217
89660.35242393536,43128.76152867562,43.217
89653.97407606464,43131.27897132438,43.217
89653.93872393535,43131.18542867562,43.217
89653.97407606464,43131.27897132438,43.217
89660.35242393536,43128.76152867562,43.217
89631.10632665637,43123.450900464544,43.148
89631.04527334364,43123.530099535456,43.148
89637.00552665637,43127.99850046454,43.148
89636.94447334364,43128.07769953545,43.148
89637.00552665637,43127.99850046454,43.148
89631.04527334364,43123.530099535456,43.148
