# x_m, y_m, w_tr_right_m, w_tr_left_m
89657.12850642917,43129.13269639167,2.9124038679823374,2.9124038679823374
89657.11599023108,43128.433931156105,3.1988998768986154,3.1988998768986154
89657.10880970374,43127.72688215472,3.151627114182409,3.151627114182409
89657.07423073213,43127.025993057716,3.5671262129361057,3.5671262129361057
89656.9795192012,43126.345707535336,3.5196129246628494,3.5196129246628494
89656.79194101217,43125.70046925306,3.71714209132512,3.71714209132512
89656.48984001612,43125.10149609829,3.6684345393689712,3.6684345393689712
89656.09436831593,43124.54754066286,3.793407419202264,3.793407419202264
89655.63698504501,43124.034346229375,3.7438604646358717,3.7438604646358717
89655.14192689974,43123.55793982469,3.7644468989020794,3.7644468989020794
89654.61707525427,43123.11499101865,3.7152045914964544,3.7152045914964544
89654.06806064401,43122.7022578087,3.564815632275687,3.564815632275687
89653.50051360439,43122.316498192224,3.5162817543535225,3.5162817543535225
89652.92006467082,43121.95447016667,3.367222425026446,3.367222425026446
89652.3323443787,43121.61293172944,3.318204980084147,3.318204980084147
89651.74290434289,43121.288544447765,3.2779674329549082,3.2779674329549082
89651.15394321282,43120.97387301963,3.228060941595992,3.228060941595992
89650.56324661616,43120.6558323509,3.2519720410776185,3.2519720410776185
89650.10002985939,43120.21150861385,3.2019797739796205,3.2019797739796205
89649.44606975296,43120.23112930703,3.3155567401810284,3.3155567401810284
89648.77977994068,43120.318376122916,3.266946146227835,3.266946146227835
89648.11222913665,43120.44360539232,3.4724729073320937,3.4724729073320937
89647.44301616437,43120.596438910965,3.4248890068624447,3.4248890068624447
89646.7717398473,43120.76649847452,3.6279719884067827,3.6279719884067827
89646.09799900893,43120.943405878694,3.584063660230962,3.584063660230962
89645.42140673932,43121.11695065407,3.829353947780551,3.829353947780551
89644.7420271045,43121.282224547045,3.786667719285693,3.786667719285693
89644.06045624065,43121.44057496139,3.647126584486164,3.647126584486164
89643.37732090864,43121.59370936011,3.60154480405547,3.60154480405547
89642.69324786929,43121.74333520625,3.4894351041484106,3.4894351041484106
89642.0088638834,43121.8911599628,3.4406661268505263,3.4406661268505263
89641.32479571174,43122.038891092765,3.41255526376187,3.41255526376187
89640.64167011518,43122.18823605918,3.36263235686691,3.36263235686691
89639.96011385451,43122.34090232505,3.3608936824558273,3.3608936824558273
89639.2807590544,43122.4986086468,3.3109130226425147,3.3109130226425147
89638.60586754378,43122.66650506469,3.4378514285427118,3.4378514285427118
89637.94161541946,43122.85798296932,3.388318616610181,3.388318616610181
89637.29475438647,43123.08764567394,3.303268019990448,3.303268019990448
89636.67203614993,43123.37009649182,3.2534445344860248,3.2534445344860248
89636.07999873749,43123.71814919196,3.4051778874703813,3.4051778874703813
89635.52337150836,43124.12946997825,3.355314694349668,3.355314694349668
89635.00597378139,43124.594103484946,3.470722589960987,3.470722589960987
89634.53161494329,43125.10203688375,3.421363010552235,3.421363010552235
89634.10068237245,43125.643719064334,3.4810360932949305,3.4810360932949305
89633.70357188304,43126.21094703849,3.4312876299696993,3.4312876299696993
89633.3288654967,43126.795762545866,3.4873494808816576,3.4873494808816576
89632.96514523496,43127.390207326076,3.43752423425811,3.43752423425811
89632.6015897154,43127.98672966412,3.494913458362003,3.494913458362003
89632.23416025907,43128.58239986197,3.445441170714337,3.445441170714337
89631.86312268006,43129.17722148261,3.4243586384105345,3.4243586384105345
89631.48881139145,43129.77124483523,3.3745312303884547,3.3745312303884547
89631.11156080628,43130.36452022903,3.399171885379241,3.399171885379241
89630.73170533763,43130.95709797318,3.3495809722591106,3.3495809722591106
89630.34957939855,43131.549028376896,3.358292085285333,3.358292085285333
89629.96551740209,43132.140361749334,3.3085274612696787,3.3085274612696787
89629.57985376132,43132.7311483997,3.310398181227081,3.310398181227081
89629.19292288928,43133.32143863718,3.2604058026123477,3.2604058026123477
89628.80505919906,43133.91128277095,3.3704520247043783,3.3704520247043783
89628.4165971037,43134.50073111021,3.320792697207437,3.320792697207437
89628.02787101627,43135.08983396413,3.462073737029977,3.462073737029977
89627.6392153498,43135.67864164193,3.4125195062726363,3.4125195062726363
89627.25096451739,43136.267204452764,3.5939138324265762,3.5939138324265762
89626.86345293207,43136.85557270584,3.5454440854716327,3.5454440854716327
89626.47701501306,43137.44379672467,3.4202980220566377,3.4202980220566377
89626.09204138484,43138.03205813665,3.370411309271745,3.370411309271745
89625.70911615432,43138.620990572505,3.3417368545696546,3.3417368545696546
89625.32886503068,43139.21132485175,3.291953192212319,3.291953192212319
89624.95191372292,43139.80379179381,3.4246917050075396,3.4246917050075396
89624.57888794014,43140.39912221814,3.375082215837203,3.375082215837203
89624.2104133914,43140.99804694421,3.4241704181085892,3.4241704181085892
89623.8471134385,43141.60129483177,3.3743208289683384,3.3743208289683384
89623.48880787395,43142.208923856495,3.4357697088428383,3.4357697088428383
89623.13334316327,43142.81934450254,3.3858697847599544,3.3858697847599544
89622.77826835637,43143.430718947566,3.4764622500293734,3.4764622500293734
89622.42113250305,43144.041209369214,3.4269284294218982,3.4269284294218982
89622.05948465313,43144.64897794511,3.4166148947608126,3.4166148947608126
89621.69087385638,43145.25218685288,3.366731380670572,3.366731380670572
89621.31284916267,43145.84899827017,3.361178010512379,3.361178010512379
89620.92397344815,43146.43827280868,3.3123097387265177,3.3123097387265177
89620.52773932862,43147.02226722185,3.3180044590371955,3.3180044590371955
89620.1291356448,43147.60426902592,3.268009573372149,3.268009573372149
89619.73315157686,43148.187565970984,3.337439677924108,3.337439677924108
89619.3438375261,43148.774776162834,3.2874766142401626,3.2874766142401626
89618.9609361712,43149.36544494782,3.3493751597999566,3.3493751597999566
89618.58295536414,43149.9582368528,3.2997068723033225,3.2997068723033225
89618.20840285344,43150.551816331,3.4035279331513335,3.4035279331513335
89617.8357863878,43151.14484783566,3.3540905382264836,3.3540905382264836
89617.46361371597,43151.735995820076,3.4535672560467123,3.4535672560467123
89617.09039258654,43152.32392473746,3.404127659084198,3.404127659084198
89616.71474484264,43152.907401817225,3.5243289962860302,3.5243289962860302
89616.33785205019,43153.487500084564,3.4749806761166075,3.4749806761166075
89615.96342019683,43154.067566561265,3.5665935824218247,3.5665935824218247
89615.59526230393,43154.65104468503,3.517193076517377,3.517193076517377
89615.23712245059,43155.24132244709,3.554757339614127,3.554757339614127
89614.8881929132,43155.83812707982,3.5048872385102317,3.5048872385102317
89614.54036093668,43156.43531078945,3.5615833818750557,3.5615833818750557
89614.18485609026,43157.026196698425,3.511858381852903,3.511858381852903
89613.81795404313,43157.6072482832,3.5593809339304237,3.5593809339304237
89613.45289488937,43158.18548654041,3.5095912174350263,3.5095912174350263
89613.1064798661,43158.77014868313,3.590281706629869,3.590281706629869
89612.79584165134,43159.37033173604,3.5405947960489144,3.5405947960489144
89612.54222711593,43159.993392558004,3.5842185082908897,3.5842185082908897
89612.36966697834,43160.645510533395,3.534628212279843,3.534628212279843
89612.29941938391,43161.33095202221,3.5669168699146585,3.5669168699146585
89612.32571159047,43162.0358924748,3.5170482448339437,3.5170482448339437
89612.42813155592,43162.73663057278,3.6428761328597097,3.6428761328597097
89612.5991789331,43163.41542722246,3.593289427999132,3.593289427999132
89612.84729076848,43164.06194354112,3.6678385272904026,3.6678385272904026
89613.17913031825,43164.66668093153,3.618498072122217,3.618498072122217
89613.58646414975,43165.22227023929,3.5928311008558707,3.5928311008558707
89614.05628340569,43165.72215712854,3.5428545014807638,3.5428545014807638
89614.57924152105,43166.16110694836,3.5760397533483093,3.5760397533483093
89615.14868321741,43166.53485336811,3.5265413148699665,3.5265413148699665
89615.75801528327,43166.8391523887,3.5098167847031747,3.5098167847031747
89616.40064450714,43167.069760011036,3.460168468268027,3.460168468268027
89617.0699776775,43167.22243223603,3.450824180381612,3.450824180381612
89617.7584753358,43167.29303774442,3.4010765770246576,3.4010765770246576
89618.4505902839,43167.27839878471,3.480662919976398,3.480662919976398
89619.12674692408,43167.175817310264,3.430859954376195,3.430859954376195
89619.76760622012,43166.98263527194,3.53271918052684,3.53271918052684
89620.36294545868,43166.69743539946,3.4828039138480187,3.4828039138480187
89620.91357064033,43166.320777854664,3.5857694610242903,3.5857694610242903
89621.41738308898,43165.86615355805,3.535799128032868,3.535799128032868
89621.86830646913,43165.36130303556,3.478491707453345,3.478491707453345
89622.26690946451,43164.82948169814,3.4285787841463558,3.4285787841463558
89622.63586338,43164.277083046225,3.4826566795570373,3.4826566795570373
89622.99953701205,43163.70716113354,3.4327476172444484,3.4327476172444484
89623.36484883445,43163.12311176983,3.4082660193438272,3.4082660193438272
89623.73189529157,43162.52846437093,3.358285147266673,3.358285147266673
89624.10075708067,43161.92674866105,3.2477347105196173,3.2477347105196173
89624.47151489892,43161.321494364405,3.198120939616963,3.198120939616963
89624.84424944362,43160.71623120523,3.192967712875346,3.192967712875346
89625.21893434747,43160.113906923376,3.1431510356653587,3.1431510356653587
89625.59502336264,43159.514643277056,3.0530496378600747,3.0530496378600747
89625.97181266699,43158.91770547732,3.003893789855326,3.003893789855326
89626.34859840333,43158.32235854476,3.0493623973539057,3.0493623973539057
89626.72467671445,43157.72786749996,2.9993990796822474,2.9993990796822474
89627.09934374319,43157.13349736353,3.064260542787147,3.064260542787147
89627.47189563232,43156.53851315604,3.0143377171766983,3.0143377171766983
89627.84162852468,43155.942179898084,3.0244933338249944,3.0244933338249944
89628.20783856307,43155.34376261025,2.974618549603846,2.974618549603846
89628.56982226363,43154.74252665017,3.0115681023745826,3.0115681023745826
89628.9271866937,43154.13801773251,2.9620723150700257,2.9620723150700257
89629.28041255048,43153.53057026092,3.0022516977829454,3.0022516977829454
89629.63013303142,43152.920656312075,2.953649114689821,2.953649114689821
89629.97698133411,43152.308747962685,3.1213609946254692,3.1213609946254692
89630.32159065593,43151.69531728941,3.078331551405635,3.078331551405635
89630.66459419442,43151.08083636895,3.2503540568385594,3.2503540568385594
89631.00662514701,43150.46577727795,3.2068927924757302,3.2068927924757302
89631.34831671124,43149.85061209314,3.409037236525781,3.409037236525781
89631.6903020846,43149.23581289121,3.3608973329165672,3.3608973329165672
89632.03321446452,43148.621851748794,3.450036825253827,3.450036825253827
89632.37768704856,43148.009200742636,3.400414740927766,3.400414740927766
89632.72435303414,43147.39833194936,3.406585948326462,3.406585948326462
89633.07384561874,43146.78971744568,3.3671785496618027,3.3671785496618027
89633.4267979999,43146.183829308284,3.304349807706616,3.304349807706616
89633.78384337504,43145.58113961385,3.256078943448649,3.256078943448649
89634.14556982047,43144.982082980045,3.14405572786209,3.14405572786209
89634.51168397258,43144.38636226543,3.1018001849847834,3.1018001849847834
89634.88109002214,43143.79301414938,3.0112085983818244,3.0112085983818244
89635.25266288134,43143.20105100455,2.9667412060713083,2.9667412060713083
89635.62527746227,43142.60948520355,2.9120434465182243,2.9120434465182243
89635.99780867704,43142.01732911901,2.863907883949541,2.863907883949541
89636.36913143778,43141.42359512355,2.842227113101939,2.842227113101939
89636.73812065666,43140.82729558984,2.7928648247574395,2.7928648247574395
89637.10365372604,43140.22744833604,2.91214658075404,2.91214658075404
89637.46749108082,43139.62940104936,2.863002716620437,2.863002716620437
89637.83983612114,43139.057038383646,3.0028267565168454,3.0028267565168454
89638.23242969887,43138.53762054763,2.9530645032817304,2.9530645032817304
89638.65288264523,43138.05484029476,3.0525622148494733,3.0525622148494733
89639.10835719244,43137.5343750143,3.002845975108116,3.002845975108116
89639.6254301728,43137.03468896748,2.9631843029956464,2.9631843029956464
89640.21979762243,43136.60920780456,2.9136436048652334,2.9136436048652334
89640.8765617604,43136.270141809895,2.923611573557805,2.923611573557805
89641.57619566673,43136.023464985774,2.873651789508283,2.873651789508283
89642.29917242118,43135.87515133441,2.8646235835531035,2.8646235835531035
89643.02596510366,43135.831174858045,2.81462438560976,2.81462438560976
89643.73704679399,43135.89750955892,2.8725618008254763,2.8725618008254763
89644.41289057207,43136.080129439295,2.8228862709722486,2.8228862709722486
89645.03405102306,43136.38490572599,2.8870080091241928,2.8870080091241928
89645.59030136053,43136.80608527389,2.838299240150081,2.838299240150081
89646.08898266173,43137.31576246868,2.7103035054502205,2.7103035054502205
