x,y,z
89656.8633061512,43130.01837795528,43.217
89657.4632938488,43130.02222204471,43.217
89657.16970681572,43129.020320503994,43.217
89656.86820641941,43129.25353876011,43.2044
89657.46819358059,43129.25746123989,43.2044
89657.17473746631,43128.25552139807,43.2044
89656.87320641942,43128.48873876011,43.1917
89657.47319358059,43128.49266123989,43.1917
89657.17973746631,43127.49072139807,43.1917
89656.87842691487,43127.737566146294,43.1759
89657.47797308512,43127.7142338537,43.1759
89657.13931284568,43126.72665638294,43.1759
89656.8577034174,43127.03864287763,43.1628
89657.4394965826,43126.891957122374,43.1628
89656.90412374125,43125.99564472466,43.1628
89656.68319176855,43126.33580322903,43.1566
89657.24060823144,43126.11379677098,43.1566
89656.59188923659,43125.29577256184,43.1566
89656.42256256561,43125.67086615348,43.1478
89656.93703743439,43125.36213384652,43.1478
89656.16524615507,43124.659041885374,43.1478
89656.05572878556,43125.05360099945,43.1405
89656.52087121444,43124.67459900055,43.1405
89655.65663000183,43124.08886261854,43.1405
89655.6077074482,43124.49702447529,43.1355
89656.0026925518,43124.045375524714,43.1355
89655.05245174904,43123.61289149399,43.1355
89655.04216084791,43124.00232955656,43.1309
89655.4268391521,43123.54187044344,43.1309
89654.4670681448,43123.13096949301,43.1309
89654.4641571354,43123.51939072208,43.1258
89654.84064286461,43123.052209277914,43.1258
89653.87376425973,43122.658323784635,43.1258
89653.88630344401,43123.053233442784,43.1201
89654.238896556,43122.567766557215,43.1201
89653.25348852406,43122.22284481335,43.1201
89653.27918866296,43122.61210139408,43.1133
89653.61621133705,43122.115698605914,43.1133
89652.62036201973,43121.80219554319,43.1133
89652.6730232374,43122.199242086506,43.106
89652.9665767626,43121.67595791349,43.106
89651.94765971164,43121.44834412465,43.106
89652.00855987183,43121.8264679522,43.1006
89652.29624012818,43121.29993204779,43.1006
89651.27484015933,43121.08373290605,43.1006
89651.34536139447,43121.464017273,43.0961
89651.62003860551,43120.930582727,43.0961
89650.59364242334,43120.739504648256,43.0961
89650.68171229883,43121.122063774346,43.0912
89650.93668770118,43120.578936225655,43.0912
89649.90398741885,43120.425540996075,43.0912
89649.99624074745,43120.799794247534,43.0976
89650.27975925256,43120.27100575247,43.0976
89649.25668584157,43120.06286915817,43.0976
89649.569407366,43120.48355321975,43.1031
89649.426392634,43119.90084678025,43.1031
89648.52672260084,43120.43055788667,43.1031
89648.84090290415,43120.66228398156,43.1035
89648.71009709586,43120.07671601844,43.1035
89647.7995533948,43120.58750968051,43.1035
89648.08324849431,43120.8313175643,43.1041
89647.97435150569,43120.2412824357,43.1041
89647.04540811901,43120.71779498105,43.1041
89647.33589443917,43120.96920097132,43.1141
89647.21650556082,43120.38119902868,43.1141
89646.29619676227,43120.87418146391,43.1141
89646.60561481985,43121.11680742016,43.1238
89646.44758518014,43120.53799257984,43.1238
89645.56190859947,43121.09078273287,43.1238
89645.86717832393,43121.3184173801,43.1264
89645.70922167606,43120.739582619906,43.1264
89644.82347539968,43121.29226107979,43.1264
89645.1180048425,43121.522643970726,43.1289
89644.98159515749,43120.93835602927,43.1289
89644.07598676423,43121.457849475024,43.1289
89644.36791804712,43121.69772030544,43.1308
89644.24108195287,43121.11127969455,43.1308
89643.32709898186,43121.61589349043,43.1308
89643.6198555176,43121.85951220517,43.1326
89643.49294448241,43121.27308779483,43.1326
